id,team_name,player_name,angle,distance,under_pressure,body_part_name_Other,body_part_name_foot,shot_first_time,shot_deflected,shot_open_goal,shot_follows_dribble,shot_one_on_one,position_category,goal
61d52e72-a8ff-49c4-be02-057b1ea0fb15,Switzerland,Granit Xhaka,2.8624052261117545,24.0,0,0,1,1,0,0,0,0,Midfielder,0
aa77495b-0e7b-44f0-a2eb-11605085943a,Switzerland,Breel-Donald Embolo,5.792796495032177,6.900000000000006,0,0,1,1,0,0,0,0,Forward,0
51026369-a4ad-4a71-b14a-6e7f8b764772,Switzerland,Granit Xhaka,6.689315397634056,16.200000000000003,0,0,1,1,0,0,0,0,Midfielder,0
6ac240f5-8b84-4c06-8153-b56109c8c5e6,Serbia,Nikola Milenković,22.306205054907668,7.799999999999997,0,0,0,0,0,0,0,0,Defender,0
00e599c0-5234-4b6a-9b91-d6f789a311b0,Serbia,Andrija Živković,27.384970581213853,23.432669502214214,0,0,1,0,0,0,0,0,Defender,0
457d529f-b36e-45f8-b168-ee76254acf0a,Serbia,Dušan Vlahović,16.927513064147046,4.599999999999994,0,1,0,0,0,0,0,1,Forward,0
b6e10a35-3d7a-40ac-b68e-7118fffbe9ab,Switzerland,Remo Freuler,18.575724410681094,12.200409829181972,0,0,1,1,0,0,0,0,Midfielder,0
c7c1917b-2c74-40a4-94a0-dc7a9137a766,Switzerland,Xherdan Shaqiri,40.29794457668378,14.135416513141733,0,0,1,1,1,0,0,0,Forward,1
97f840a8-4545-46a7-a9b3-8e91be859de5,Switzerland,Granit Xhaka,15.511092187727428,22.81622229905731,0,0,1,1,0,0,0,0,Midfielder,0
aaae9647-f552-4341-8d43-de39a7facbee,Serbia,Dušan Vlahović,23.860175191342336,10.41729331448434,0,0,0,0,0,0,0,1,Forward,0
e90ac0da-ac09-4a22-a26e-01ff53f52434,Serbia,Aleksandar Mitrović,6.82346239903351,11.700000000000003,0,0,0,0,0,0,0,0,Forward,1
6cee2bd6-3370-4a3f-9a1e-a580d18e8809,Switzerland,Xherdan Shaqiri,36.79529380843133,13.35402561027947,1,0,1,0,0,0,0,1,Forward,0
315de8c7-f26d-4e85-ac65-1f5533f108e0,Serbia,Dušan Vlahović,30.71890426402918,14.424978336205566,0,0,1,1,0,0,0,0,Forward,1
ce449cb2-5974-46ce-8e69-fa53df9ee074,Switzerland,Ruben Vargas,21.017300874756266,19.284449693989195,0,0,1,1,0,0,0,0,Forward,0
663eefd5-97eb-4c07-9ac7-241b3bfe1356,Switzerland,Breel-Donald Embolo,28.96766064606407,5.599999999999994,0,0,1,1,0,1,0,0,Forward,1
5a665436-df39-42a9-bc2e-6fa33394ac5f,Serbia,Aleksandar Mitrović,18.996654155488553,18.44396920405149,0,0,1,1,0,0,0,0,Forward,0
d46db09d-7f77-447c-80fb-6cc0928f060a,Switzerland,Remo Freuler,5.355825042855204,12.799999999999997,0,0,1,1,0,0,0,0,Midfielder,1
1b19f202-7a71-4df3-b20c-bca100a02f59,Switzerland,Fabian Lukas Schär,45.6095065766752,10.804628637764463,0,0,1,1,0,0,0,0,Defender,0
16eedabd-c8b8-4c23-88f2-b17b3636f382,Switzerland,Breel-Donald Embolo,10.175510843043233,3.9000000000000057,0,0,1,1,0,0,0,0,Forward,0
5a1d44e8-2b65-422b-a804-0f5413ad2390,Serbia,Dušan Tadić,33.374101356691405,13.313526955694343,0,0,1,0,0,0,0,0,Midfielder,0
248db6b9-ea93-438e-84f0-20158bfbba14,Serbia,Aleksandar Mitrović,45.81845546168862,17.160419575290106,0,0,1,0,0,0,0,0,Forward,0
06926bc9-8a40-48a4-9f61-e27d7dcf804d,Serbia,Luka Jović,10.191501850027702,17.799999999999997,1,0,0,0,0,0,0,0,Forward,0
3c23cdb3-0a42-49ae-9030-888e2f892171,Switzerland,Manuel Obafemi Akanji,31.65403372993861,22.36179778103719,0,0,1,1,0,0,0,0,Defender,0
a8953e7b-69b5-4d68-922a-a3cf2ce6ca0f,Switzerland,Christian Fassnacht,37.05652818940958,16.324827717314513,0,0,1,0,0,0,0,0,Forward,0
e7ede913-f7f7-48b7-92d3-b88295a117d7,Serbia,Luka Jović,0.7638984609300059,15.0,1,0,0,0,0,0,0,0,Forward,0
e674f461-f75f-4df1-8950-f5922f84e9ce,Serbia,Nemanja Radonjić,38.31613589196588,16.055528642807122,0,0,1,1,0,0,0,0,Defender,0
9fd07a9a-2de2-4ba5-b400-6a2264835ba2,Argentina,Alejandro Darío Gómez,42.39120525325055,26.982401672201085,0,0,1,0,0,0,0,0,Forward,0
b70841d8-d3d3-40de-a009-58a8309e3ba2,Australia,Harry Souttar,26.281411021320192,8.099999999999994,1,0,0,0,0,0,0,0,Defender,0
53d825ac-a98d-41ca-b81f-1015dee17376,Argentina,Lionel Andrés Messi Cuccittini,29.392175755239265,16.542369842317026,0,0,1,0,0,0,0,0,Forward,1
9fa41c60-ab9c-4fcb-8d5c-39a781e7a9c0,Argentina,Lionel Andrés Messi Cuccittini,4.246842607023471,20.200000000000003,0,0,1,0,1,0,0,0,Forward,0
a7ce988c-2d9b-4d78-8b34-95e4d2774ae0,Argentina,Julián Álvarez,47.01459878787058,11.482595525402775,0,0,1,0,0,0,0,0,Forward,1
5f1b13a1-f49c-41a6-9040-2c7db303d427,Argentina,Lionel Andrés Messi Cuccittini,14.582942329484077,24.716795908855172,0,0,1,0,0,0,0,0,Forward,0
060deabd-8fca-4998-b49c-bf4dee752a0e,Argentina,Nicolás Alejandro Tagliafico,41.9495055058586,20.1357890334598,0,0,1,0,0,0,0,0,Defender,0
