id,index,period,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_one_on_one,shot_deflected,shot_open_goal,shot_follows_dribble,shot_redirect,goal,home_team_name,away_team_name,competition_stage_name,home_score,away_score,position_category,angle,distance,body_part_name_Head,body_part_name_Other,body_part_name_foot,body_part_name_other
ce449cb2-5974-46ce-8e69-fa53df9ee074,1247,1,37,26,87,0.191273,3857256,16,Shot,773,Switzerland,4,From Throw In,773,Switzerland,30401,Ruben Vargas,21,Left Wing,105.9,45.2,40,87,Open Play,101.0,47.3,96,Blocked,0,0.0683221,93,Normal,1,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,21.017300874756266,19.284449693989195,0,0,1,0
663eefd5-97eb-4c07-9ac7-241b3bfe1356,1440,1,43,41,99,0.335147,3857256,16,Shot,773,Switzerland,1,Regular Play,773,Switzerland,5545,Breel-Donald Embolo,23,Center Forward,120.0,37.8,40,87,Open Play,114.4,36.9,97,Goal,0,0.72697556,93,Normal,1,0.6,0,0,1,0,0,1,Serbia,Switzerland,Group Stage,2,3,Forward,28.96766064606407,5.599999999999994,0,0,1,0
5a665436-df39-42a9-bc2e-6fa33394ac5f,1503,1,47,38,106,0.345056,3857256,16,Shot,786,Serbia,4,From Throw In,786,Serbia,4269,Aleksandar Mitrović,24,Left Center Forward,105.3,37.4,40,87,Open Play,101.7,33.7,101,Wayward,0,0.056521177,95,Volley,1,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,18.996654155488553,18.44396920405149,0,0,1,0
d46db09d-7f77-447c-80fb-6cc0928f060a,1621,2,47,38,113,0.534031,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,6983,Remo Freuler,9,Right Defensive Midfield,120.0,42.7,38,87,Open Play,107.2,41.2,97,Goal,0,0.15381548,91,Half Volley,1,0.6,0,0,0,0,0,1,Serbia,Switzerland,Group Stage,2,3,Midfielder,5.355825042855204,12.799999999999997,0,0,1,0
1b19f202-7a71-4df3-b20c-bca100a02f59,1856,2,56,32,127,0.286691,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,5537,Fabian Lukas Schär,3,Right Center Back,114.1,35.7,40,87,Open Play,110.7,30.5,96,Blocked,0,0.07925899,95,Volley,1,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Defender,45.6095065766752,10.804628637764463,0,0,1,0
16eedabd-c8b8-4c23-88f2-b17b3636f382,1860,2,56,33,127,0.557633,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,5545,Breel-Donald Embolo,23,Center Forward,120.0,38.8,40,87,Open Play,116.1,39.3,98,Off T,0,0.6647709,91,Half Volley,1,3.8,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,10.175510843043233,3.9000000000000057,0,0,1,0
5a1d44e8-2b65-422b-a804-0f5413ad2390,1979,2,60,6,136,0.945234,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,3831,Dušan Tadić,19,Center Attacking Midfield,120.0,37.1,38,87,Open Play,107.4,31.7,98,Off T,0,0.061684445,91,Half Volley,0,4.1,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Midfielder,33.374101356691405,13.313526955694343,0,0,1,0
248db6b9-ea93-438e-84f0-20158bfbba14,2244,2,70,49,153,0.14238,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,4269,Aleksandar Mitrović,24,Left Center Forward,107.5,27.4,40,87,Open Play,106.2,25.8,96,Blocked,0,0.03203667,93,Normal,0,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,45.81845546168862,17.160419575290106,0,0,1,0
06926bc9-8a40-48a4-9f61-e27d7dcf804d,2309,2,72,0,155,0.067566,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,6319,Luka Jović,22,Right Center Forward,103.1,43.1,37,87,Open Play,102.2,43.2,96,Blocked,1,0.02594082,93,Normal,0,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,10.191501850027702,17.799999999999997,1,0,0,1
3c23cdb3-0a42-49ae-9030-888e2f892171,2635,2,81,58,168,0.808534,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,5549,Manuel Obafemi Akanji,5,Left Center Back,120.0,44.9,40,87,Open Play,99.4,52.7,98,Off T,0,0.030122569,93,Normal,1,2.3,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Defender,31.65403372993861,22.36179778103719,0,0,1,0
